time(s), awa_raw (rad), awa_filtered (rad), true heading (rad)
403.794128,-0.783849114335932,-0.719314438380887,3.47115635871887
403.9941,-0.810070132348384,-0.72674494703683,3.47620749473572
404.194098,-0.836235351505394,-0.735410549812787,3.49003195762634
404.394074,-0.85881110247782,-0.744906150043132,3.50666761398315
404.594051,-0.871966915932234,-0.75471857255353,3.51820516586304
404.794162,-0.897512436808642,-0.766052315018484,3.52485728263855
404.994095,-0.907571315765381,-0.776762815622665,3.52541422843933
405.194073,-0.911305545966362,-0.787120723345353,3.52930045127869
405.394059,-0.92441362995452,-0.797678555855719,3.53070545196533
405.594043,-0.937524258573906,-0.808479811849,3.52986550331116
405.794146,-0.942477703094482,-0.818630486278983,3.53077125549316
405.994078,-0.934839423148116,-0.827323902530533,3.53602623939514
406.194063,-0.908616886710952,-0.833482146916017,3.53759932518005
406.394049,-0.894986265774327,-0.83779224251183,3.54247951507568
406.594025,-0.89011812210083,-0.841760311517252,3.54379343986511
406.794128,-0.894024938053004,-0.845850906309766,3.53943467140198
406.99407,-0.907132796276446,-0.850590131812691,3.53588390350342
407.194047,-0.907571315765381,-0.854871555061805,3.53381514549255
407.394026,-0.907571315765381,-0.858867333830131,3.53876280784607
407.594012,-0.911554048232458,-0.862989373915728,3.5424473285675
407.79412,-0.924672789134202,-0.867758815071389,3.54114723205566
407.994043,-0.925024509429932,-0.872060912780058,3.54138350486755
408.19403,-0.933435909787992,-0.876915925673329,3.53964996337891
408.394017,-0.938410809042532,-0.881519875993765,3.53583908081055
408.594001,-0.925300246616721,-0.884865048454461,3.5361533164978
408.794105,-0.912181190073561,-0.886601004813642,3.53447794914246
408.994038,-0.907571315765381,-0.888190677756345,3.53091812133789
409.194024,-0.907571315765381,-0.889672376414652,3.52810668945313
409.394,-0.907571315765381,-0.89104934735703,3.52672863006592
409.593976,-0.92048987567599,-0.893582444943622,3.52460956573486
409.794086,-0.933608874852521,-0.896825415492591,3.52163648605347
409.994018,-0.946716435120064,-0.900737219847193,3.52034544944763
410.193998,-0.959827375532356,-0.905292502496712,3.52805328369141
410.393981,-0.972935106629591,-0.910693846886867,3.53144288063049
410.593968,-0.994706113918853,-0.917474246137125,3.52968645095825
410.79407,-1.01661732687569,-0.925148857828583,3.5282256603241
410.994005,-1.02972487389611,-0.933192309057509,3.52311635017395
